Graph,n,m,minDeg,maxDeg,Time,Heuristics,variable,value
"I?zm}}~~w
",10,34,4,9,0.0004744529724121094,0,RandomSolvable,0.0
"I?zm}~}~w
",10,34,1,9,0.0012116432189941406,1,RandomSolvable,0.0
"I?zm}~~~w
",10,35,4,9,0.0012373924255371094,0,RandomSolvable,0.0
"I?zm~vv~w
",10,34,4,9,0.0004208087921142578,0,RandomSolvable,0.0
"I?zm~vz~w
",10,34,4,9,0.0005769729614257812,0,RandomSolvable,0.0
"I?zm~v}~w
",10,34,4,9,0.0010900497436523438,0,RandomSolvable,0.0
"I?zm~v~~w
",10,35,1,9,0.001115560531616211,1,RandomSolvable,0.0
"I?zm~z|~w
",10,34,4,9,0.0003876686096191406,0,RandomSolvable,0.0
"I?zm~z}~w
",10,34,4,9,0.0005769729614257812,0,RandomSolvable,0.0
"I?zm~z~~w
",10,35,4,9,0.0006430149078369141,0,RandomSolvable,0.0
"I?zm~~}vw
",10,34,4,8,0.0005521774291992188,0,RandomSolvable,0.0
"I?zm~~}}w
",10,34,4,8,0.0010590553283691406,0,RandomSolvable,0.0
"I?zm~~}~W
",10,34,4,8,0.0004680156707763672,0,RandomSolvable,0.0
"I?zm~~}~o
",10,34,4,8,0.00048232078552246094,0,RandomSolvable,0.0
"I?zm~~}~w
",10,35,4,9,0.0011200904846191406,0,RandomSolvable,0.0
"I?zm~~~~w
",10,36,4,9,0.0011544227600097656,0,RandomSolvable,0.0
"I?zn]~^~w
",10,34,3,9,0.0011210441589355469,0,RandomSolvable,0.0
"I?zn]~|~w
",10,34,3,9,0.0016071796417236328,0,RandomSolvable,0.0
"I?zn]~}~w
",10,34,3,9,0.0010228157043457031,0,RandomSolvable,0.0
"I?zn]~~~w
",10,35,3,9,0.0004673004150390625,0,RandomSolvable,0.0
"I?zn^^^~w
",10,34,2,9,0.0011363029479980469,0,RandomSolvable,0.0
"I?zn^^n~w
",10,34,1,9,0.0012061595916748047,0,RandomSolvable,0.0
"I?zn^^}~w
",10,34,2,9,0.0005471706390380859,0,RandomSolvable,0.0
"I?zn^^~~w
",10,35,1,9,0.0012028217315673828,1,RandomSolvable,0.0
"I?zn^z|~w
",10,34,3,9,0.0019440650939941406,1,RandomSolvable,0.0
"I?zn^z}~w
",10,34,3,9,0.00046706199645996094,0,RandomSolvable,0.0
"I?zn^z~~w
",10,35,3,9,0.0004830360412597656,0,RandomSolvable,0.0
"I?zn^~}vw
",10,34,3,8,0.0016520023345947266,0,RandomSolvable,0.0
"I?zn^~}zw
",10,34,2,8,0.0005421638488769531,0,RandomSolvable,0.0
"I?zn^~}~W
",10,34,3,8,0.0010290145874023438,0,RandomSolvable,0.0
"I?zn^~}~o
",10,34,3,8,0.00104522705078125,0,RandomSolvable,0.0
"I?zn^~}~w
",10,35,3,9,0.0005521774291992188,0,RandomSolvable,0.0
"I?zn^~~~w
",10,36,3,9,0.0004200935363769531,0,RandomSolvable,1.0
"I?zne~~~w
",10,34,4,9,0.00041747093200683594,0,RandomSolvable,0.0
"I?znf^~~w
",10,34,3,9,0.0005860328674316406,0,RandomSolvable,0.0
"I?znfv~~w
",10,34,4,9,0.0005173683166503906,0,RandomSolvable,0.0
"I?znfz~~w
",10,34,4,9,0.0010838508605957031,0,RandomSolvable,0.0
"I?znf~}~w
",10,34,4,9,0.0005221366882324219,0,RandomSolvable,0.0
"I?znf~~~w
",10,35,4,9,0.0009603500366210938,0,RandomSolvable,0.0
"I?znvj~~w
",10,34,4,9,0.0017232894897460938,0,RandomSolvable,0.0
"I?znvnn~w
",10,34,3,9,0.001062154769897461,0,RandomSolvable,0.0
"I?znvn~~w
",10,35,4,9,0.0004062652587890625,0,RandomSolvable,1.0
"I?znvvv~w
",10,34,4,9,0.0008418560028076172,0,RandomSolvable,0.0
"I?znvvz~w
",10,34,4,9,0.0009303092956542969,0,RandomSolvable,0.0
"I?znvv~~w
",10,35,4,9,0.0004115104675292969,0,RandomSolvable,1.0
"I?znvzv~w
",10,34,4,9,0.00042891502380371094,0,RandomSolvable,0.0
"I?znvzz~w
",10,34,4,9,0.0005860328674316406,0,RandomSolvable,0.0
"I?znvz|~w
",10,34,4,9,0.0009241104125976562,0,RandomSolvable,0.0
"I?znvz}~w
",10,34,4,9,0.0014777183532714844,0,RandomSolvable,0.0
"I?znvz~~w
",10,35,4,9,0.0004353523254394531,0,RandomSolvable,0.0
"I?znv~}|w
",10,34,4,8,0.0008459091186523438,0,RandomSolvable,0.0
"I?znv~}}w
",10,34,4,8,0.00054168701171875,0,RandomSolvable,0.0
"I?znv~}~W
",10,34,4,8,0.0004162788391113281,0,RandomSolvable,0.0
"I?znv~}~w
",10,35,4,9,0.0009908676147460938,0,RandomSolvable,0.0
"I?znv~~~w
",10,36,4,9,0.0011663436889648438,0,RandomSolvable,0.0
"I?zn~z}}w
",10,34,4,8,0.0005016326904296875,0,RandomSolvable,0.0
"I?zn~z}~g
",10,34,4,8,0.0005409717559814453,0,RandomSolvable,0.0
"I?zn~z}~w
",10,35,4,9,0.0005524158477783203,0,RandomSolvable,0.0
"I?zn~z~~w
",10,36,4,9,0.0005986690521240234,0,RandomSolvable,0.0
"I?zn~~~~w
",10,37,4,9,0.0004811286926269531,0,RandomSolvable,0.0
"I?zve~~~w
",10,34,5,9,0.00041747093200683594,0,RandomSolvable,0.0
"I?zvf^~~w
",10,34,4,9,0.0013422966003417969,0,RandomSolvable,0.0
"I?zvfn~~w
",10,34,5,9,0.0004165172576904297,0,RandomSolvable,0.0
"I?zvfz~~w
",10,34,5,9,0.0003936290740966797,0,RandomSolvable,1.0
"I?zvf~}~w
",10,34,5,9,0.0009913444519042969,0,RandomSolvable,0.0
"I?zvf~~~w
",10,35,5,9,0.0011243820190429688,0,RandomSolvable,0.0
"I?zvnnv~w
",10,34,4,9,0.001466989517211914,0,RandomSolvable,0.0
"I?zvnn~~w
",10,35,5,9,0.0005562305450439453,0,RandomSolvable,0.0
"I?zvnr~~w
",10,34,5,9,0.00041794776916503906,0,RandomSolvable,0.0
"I?zvn~}|w
",10,34,5,8,0.00041604042053222656,0,RandomSolvable,0.0
"I?zvn~}~w
",10,35,5,9,0.0005524158477783203,0,RandomSolvable,0.0
"I?zvn~~~w
",10,36,5,9,0.0003883838653564453,0,RandomSolvable,0.0
"I?zvvnv~w
",10,34,5,9,0.00096893310546875,0,RandomSolvable,0.0
"I?zvvn|~w
",10,34,1,9,0.0014791488647460938,1,RandomSolvable,0.0
"I?zvvn}~w
",10,34,5,9,0.0009784698486328125,0,RandomSolvable,0.0
"I?zvvn~~w
",10,35,5,9,0.0004603862762451172,0,RandomSolvable,0.0
"I?zvvr~~w
",10,34,1,9,0.0013988018035888672,1,RandomSolvable,0.0
"I?zvvvv~w
",10,34,5,9,0.0003724098205566406,0,RandomSolvable,0.0
"I?zvvvz~w
",10,34,5,9,0.001062154769897461,0,RandomSolvable,0.0
"I?zvvv}~w
",10,34,4,9,0.0035905838012695312,1,RandomSolvable,0.0
"I?zvvv~~w
",10,35,5,9,0.0010499954223632812,0,RandomSolvable,0.0
"I?zvvz|~w
",10,34,5,9,0.0003707408905029297,0,RandomSolvable,0.0
"I?zvvz}~w
",10,34,5,9,0.001020193099975586,0,RandomSolvable,0.0
"I?zvvz~~w
",10,35,5,9,0.0004680156707763672,0,RandomSolvable,0.0
